PDB_1	PDB_2	Len_PDB_1	Len_PDB_2	Coverage	RMSD	I(A)	NULL(S)	NULL(T)	I(TgSA)	NULL(T)-I(TgSA)	NULL(S & T)	I(A & <S,T>)	Compression
ORF2-class02-N	pdb7kfu_A,B,C_bioassembly	1101	239	0	0.000	38.215	38770.299	8423.760	8423.760	0.000	47194.058	47239.282	-45.224
ORF2-class02-N	ORF2-class13-wrist	239	201	0	0.000	35.021	8423.760	7062.842	7062.842	0.000	15486.601	15528.632	-42.030
ORF2-class02-N	ORF2-class11-C	239	214	0	0.000	35.144	8423.760	7411.793	7411.793	0.000	15835.553	15877.705	-42.153
ORF2-class02-N	ORF2-class15-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	pdb7aap_A,B,C,D_bioassembly	1120	239	0	0.000	38.246	39339.270	8423.760	8423.760	0.000	47763.030	47808.285	-45.255
ORF2-class02-N	ORF2-class16-N	239	239	236	1.544	41.947	8429.521	8423.760	7665.856	757.904	16853.281	16129.691	723.590
ORF2-class02-N	ORF2-class08-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class20-thumb	239	84	45	3.905	97.673	8423.760	2907.766	2785.627	122.139	11331.526	11299.428	32.099
ORF2-class02-N	ORF2-class18-RT	420	239	0	0.000	36.437	14622.264	8423.760	8423.760	0.000	23046.024	23089.470	-43.446
ORF2-class02-N	ORF2-class07-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class06-thumb	239	84	27	3.457	56.434	8423.760	2896.864	2816.472	80.392	11320.624	11289.032	31.591
ORF2-class02-N	ORF2-class18-full	1275	239	236	1.640	45.206	44644.720	8423.760	7615.901	807.858	53068.479	52295.073	773.406
ORF2-class02-N	ORF2-class03-full	1275	239	238	1.297	51.715	44602.674	8423.760	7577.727	846.033	53026.434	52221.362	805.072
ORF2-class02-N	pdb4ol8_A_bioassembly	390	239	56	3.056	104.130	13868.149	8423.760	8294.729	129.031	22291.909	22258.437	33.472
ORF2-class02-N	pdb2rh1_A_bioassembly	442	239	0	0.000	36.533	15252.564	8423.760	8423.760	0.000	23676.323	23719.866	-43.542
ORF2-class02-N	ORF2-class02-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class17-full	1275	239	239	1.526	40.966	44678.345	8423.760	7708.471	715.288	53102.104	52417.028	685.076
ORF2-class02-N	ORF2-class18-wrist	239	201	23	1.891	88.776	8423.760	7082.418	6992.529	89.890	15506.178	15497.432	8.746
ORF2-class02-N	ORF2-class08-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	pdb4i43_A,B_bioassembly	1741	239	0	0.000	39.038	61401.585	8423.760	8423.760	0.000	69825.345	69871.392	-46.047
ORF2-class02-N	ORF2-class09-tower	239	201	0	0.000	35.021	8423.760	7005.550	7005.550	0.000	15429.310	15471.340	-42.030
ORF2-class02-N	pdb6kwr_A_bioassembly	453	239	12	0.372	63.396	15945.021	8423.760	8368.634	55.126	24368.781	24368.198	0.583
ORF2-class02-N	ORF2-class05-full	1275	239	238	1.587	42.969	44675.482	8423.760	7597.787	825.973	53099.242	52305.485	793.757
ORF2-class02-N	ORF2-class06-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-tower	239	201	0	0.000	35.021	8423.760	6883.700	6883.700	0.000	15307.460	15349.490	-42.030
ORF2-class02-N	ORF2-class16-C	239	214	0	0.000	35.144	8423.760	7417.584	7417.584	0.000	15841.344	15883.497	-42.153
ORF2-class02-N	ORF2-class18-tower	239	201	0	0.000	35.021	8423.760	7014.526	7014.526	0.000	15438.286	15480.316	-42.030
ORF2-class02-N	ORF2-class11-tower	239	201	0	0.000	35.021	8423.760	7022.706	7022.706	0.000	15446.465	15488.496	-42.030
ORF2-class02-N	ORF2-class20-full	1275	239	236	1.502	55.936	44659.315	8423.760	7609.109	814.651	53083.074	52313.606	769.469
ORF2-class02-N	ORF2-class03-N	239	239	238	1.297	35.846	8430.830	8423.760	7577.727	846.033	16854.590	16036.769	817.820
ORF2-class02-N	ORF2-crystal-tower	239	107	15	0.578	58.393	8423.760	3694.955	3633.080	61.875	12118.715	12107.600	11.115
ORF2-class02-N	ORF2-class04-RT	420	239	0	0.000	36.437	14599.069	8423.760	8423.760	0.000	23022.828	23066.274	-43.446
ORF2-class02-N	ORF2-class06-tower	239	201	0	0.000	35.021	8423.760	7027.440	7027.440	0.000	15451.199	15493.230	-42.030
ORF2-class02-N	ORF2-class09-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-class15-RT	420	239	0	0.000	36.437	14599.359	8423.760	8423.760	0.000	23023.119	23066.565	-43.446
ORF2-class02-N	ORF2-class18-palm	239	218	42	2.014	115.474	8423.760	7611.973	7477.347	134.626	16035.732	16008.948	26.784
ORF2-class02-N	ORF2-crystal-thumb	239	72	16	0.432	54.527	8423.760	2454.600	2389.102	65.498	10878.359	10859.756	18.603
ORF2-class02-N	ORF2-class01-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	pdb4pqu_A_bioassembly	545	239	0	0.000	36.925	19151.851	8423.760	8423.760	0.000	27575.611	27619.545	-43.934
ORF2-class02-N	ORF2-class05-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	pdb6me0_C_bioassembly	414	239	0	0.000	36.410	14642.339	8423.760	8423.760	0.000	23066.098	23109.517	-43.419
ORF2-class02-N	pdb3ol7_A_bioassembly	461	239	17	0.949	67.784	16245.655	8423.760	8356.245	67.515	24669.414	24660.797	8.617
ORF2-class02-N	pdb8gh6_A_bioassembly	898	239	0	0.000	37.844	31317.130	8423.760	8423.760	0.000	39740.890	39785.744	-44.854
ORF2-class02-N	pdb4k4y_A_bioassembly	463	239	0	0.000	36.620	16316.888	8423.760	8423.760	0.000	24740.648	24784.277	-43.629
ORF2-class02-N	ORF2-class15-fingers	239	118	16	1.586	61.841	8423.760	4061.188	4003.699	57.489	12484.948	12481.667	3.281
ORF2-class02-N	ORF2-crystal-palm	239	217	16	0.332	58.755	8423.760	7584.934	7525.151	59.783	16008.694	16000.033	8.661
